ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,InflectedForms
lote1237-1-1_2plsubjectprefix2pl-1,,lote1237-1,1_2plsubjectprefix2pl,a-,a-,a +,verbal prefix; also used for 2sg taboo relations; same form as transitive suffix and edible possessive classifier,Barlow2024,,,^ a - $,default,
lote1237-1-2_ediblepossessiveclassifierpossed-1,,lote1237-1,2_ediblepossessiveclassifierpossed,a-,a-,a +,used in indirect possession constructions; follows the possessor (genitive) and precedes the possessum (possessed); takes a possessive suffix indexing the person/number of the possessor; used somewhat more widely than exclusively with food- and drink-related possessions; same form as transitive suffix and edible possessive classifier,Barlow2024,,,^ a - $,default,"a-k (1sg), a-m (2sg), a-na (3sg), a-ra (1pl.incl)"
lote1237-1-121_transitivesuffixtr-1,,lote1237-1,121_transitivesuffixtr,-a,-a,+ a,verbal suffix; same form as 2pl subject prefix and edible possessive classifier; also /-ia/ and /-ɛ/,Barlow2024,,,^ - a $,default,
lote1237-1-4_treewoodfirewoodstick-1,,lote1237-1,4_treewoodfirewoodstick,ae,ae,a e,,Barlow2024,,,^ a e $,default,
lote1237-1-5_baseofatreetreetrunk-1,,lote1237-1,5_baseofatreetreetrunk,ae hu-,ae hu-,a e + h u +,‘tree base-POSS’,Barlow2024,,,^ a e + h u - $,default,ae hu-na (3sg)
lote1237-1-6_leafofatree-1,,lote1237-1,6_leafofatree,ae i-,ae i-,a e + i +,‘tree leaf-POSS’ < ‘tree nose-POSS’?,Barlow2024,,,^ a e + i - $,default,"ae i-na (3sg), ae i-ria (3pl)"
lote1237-1-7_fruitofatree-1,,lote1237-1,7_fruitofatree,ae ŋanaŋa-,ae ŋanaŋa-,a e + ŋ a n a ŋ a +,‘tree fruit-POSS’,Barlow2024,,,^ a e + ŋ a n a ŋ a - $,default,"ae ŋanaŋa-na (3sg), ae ŋanaŋa-ria (3pl)"
lote1237-1-8_branchofatree-1,,lote1237-1,8_branchofatree,ae pɛr-,ae pɛr-,a e + p ɛ r +,‘tree arm-POSS’,Barlow2024,,,^ a e + p ɛ r - $,default,"ae pɛn-na (3sg), ae pɛr~pɛr-na (plural, 3sg)"
lote1237-1-9_seedofatree-1,,lote1237-1,9_seedofatree,ae tutu-,ae tutu-,a e + t u t u +,‘tree egg-POSS’,Barlow2024,,,^ a e + t u t u - $,default,"ae tutu-na (3sg), ae tutu-ria (3pl)"
lote1237-1-10_rootofatree-1,,lote1237-1,10_rootofatree,ae ula-,ae ula-,a e + u l a +,‘tree root-POSS’,Barlow2024,,,^ a e + u l a - $,default,ae ula-ria (3pl)
lote1237-1-11_barkofatree-1,,lote1237-1,11_barkofatree,ae uli-,ae uli-,a e + u l i +,‘tree skin-POSS’,Barlow2024,,,^ a e + u l i - $,default,"uli-na (3sg), uli-ria (3pl)"
lote1237-1-12_pieceofwood-1,,lote1237-1,12_pieceofwood,ae xor-,ae xor-,a e + x o r +,‘tree piece-POSS’,Barlow2024,,,^ a e + x o r - $,default,"ae xon-na (3sg), ae xor~xor-na (plural, 3sg)"
lote1237-1-549_childrenplural-1,,lote1237-1,549_childrenplural,aina,aina,a i n a,also /tutu-/,Barlow2024,,,^ a i n a $,default,
lote1237-1-14_canoe-1,,lote1237-1,14_canoe,aka,aka,a k a,,Barlow2024,,,^ a k a $,default,
lote1237-1-15_dry-1,,lote1237-1,15_dry,al,al,a l,,Barlow2024,,,^ a l $,default,
lote1237-1-16_thoroughlycompletely-1,,lote1237-1,16_thoroughlycompletely,ala,ala,a l a,,Barlow2024,,,^ a l a $,default,
lote1237-1-17_wormearthworm-1,,lote1237-1,17_wormearthworm,alete,alete,a l e t e,,Barlow2024,,,^ a l e t e $,default,
lote1237-1-18_suckeregofabananaplant-1,,lote1237-1,18_suckeregofabananaplant,alo-,alo-,a l o +,,Barlow2024,,,^ a l o - $,default,"alo-na (3sg), alo-ria (3pl)"
lote1237-1-19_topicmarkertop-1,,lote1237-1,19_topicmarkertop,ana,ana,a n a,,Barlow2024,,,^ a n a $,default,
lote1237-1-20_fourcountinginfoursusedasanadnominalnumeral-1,,lote1237-1,20_fourcountinginfoursusedasanadnominalnumeral,ana lɛisinɛ,ana lɛisinɛ,a n a + l ɛ i s i n ɛ,‘TOP group.of.four’; cf. /lɛisinɛ/ (used as an absolute numeral); /hɛnɛl/ ‘four’ (in general counting),Barlow2024,,,^ a n a + l ɛ i s i n ɛ $,default,
lote1237-1-21_twenty20-1,,lote1237-1,21_twenty20,ana non kina ɛllɛ,ana non kina ɛllɛ,a n a + n o n + k i n a + ɛ lː ɛ,‘TOP man bone-3SG [times] one’,Barlow2024,,,^ a n a + n o n + k i n a + ɛ ll ɛ $,default,
lote1237-1-22_twohundred200-1,,lote1237-1,22_twohundred200,ana non kina iri analox,ana non kina iri analox,a n a + n o n + k i n a + i r i + a n a l o x,‘TOP man bone-3SG [times] 3PL ten’,Barlow2024,,,^ a n a + n o n + k i n a + i r i + a n a l o x $,default,
lote1237-1-23_hundredonehundred100-1,,lote1237-1,23_hundredonehundred100,ana non kina limɛ,ana non kina limɛ,a n a + n o n + k i n a + l i m ɛ,‘TOP man bone-3SG [times] five’,Barlow2024,,,^ a n a + n o n + k i n a + l i m ɛ $,default,
lote1237-1-24_forty40-1,,lote1237-1,24_forty40,ana non kina nai,ana non kina nai,a n a + n o n + k i n a + n a i,‘TOP man bone-3SG [times] two’,Barlow2024,,,^ a n a + n o n + k i n a + n a i $,default,
lote1237-1-25_fifty50-1,,lote1237-1,25_fifty50,ana non kina nai pe analox,ana non kina nai pe analox,a n a + n o n + k i n a + n a i + p e + a n a l o x,‘TOP man bone-3SG [times] two and ten’,Barlow2024,,,^ a n a + n o n + k i n a + n a i + p e + a n a l o x $,default,
lote1237-1-26_ten10-1,,lote1237-1,26_ten10,analox,analox,a n a l o x,possibly < TOP + /loxlox/ ‘all’; cf. /lɛisinɛ nai pe nai/ ‘ten (counting in fours)’,Barlow2024,,,^ a n a l o x $,default,
lote1237-1-27_legfoot-1,,lote1237-1,27_legfoot,ape-,ape-,a p e +,,Barlow2024,,,^ a p e - $,default,"ape-k (1sg), ape-m (2sg), ape-na (3sg)"
lote1237-1-28_foot-1,,lote1237-1,28_foot,ape- hahana,ape- hahana,a p e + + h a h a n a,‘foot-POSS liver-3SG’,Barlow2024,,,^ a p e - + h a h a n a $,default,"ape-k haha-na (1sg), ape-m haha-na (2sg), ape-na haha-na (3sg)"
lote1237-1-29_ashasheswhiteash-1,,lote1237-1,29_ashasheswhiteash,apou,apou,a p o u,cf. /xaxasoŋo/ ‘black ashes’,Barlow2024,,,^ a p o u $,default,
lote1237-1-172_tosit-1,,lote1237-1,172_tosit,are,are,a r e,also /kila/,Barlow2024,,,^ a r e $,default,"are-ŋa (nominalization, ‘chair’)"
lote1237-1-31_chair-1,,lote1237-1,31_chair,areŋa,areŋa,a r e ŋ a,‘sit-NMLZ’,Barlow2024,,,^ a r e ŋ a $,default,
lote1237-1-32_drumtypehanddrumtpkundu-1,,lote1237-1,32_drumtypehanddrumtpkundu,ario,ario,a r i o,,Barlow2024,,,^ a r i o $,default,
